word,factual_description,refusal_clean,clarification_request,disclaim_then_produce,misidentification_offer,meta_test_comment,conditional_invitation,compliant_invention,uncoded,empty,error,total
Ihlosi,0,0,20,0,0,0,0,40,0,0,0,60
Imbabala,47,0,0,0,0,1,0,12,0,0,0,60
Indlovu,55,0,0,0,0,0,0,5,0,0,0,60
Ingqawa,0,0,26,0,9,0,0,25,0,0,0,60
Ingwe,45,0,0,0,0,0,0,15,0,0,0,60
Inja,12,0,21,0,18,0,1,8,0,0,0,60
Inkawu,51,0,0,0,0,0,0,9,0,0,0,60
Inyathi,50,0,0,0,0,0,0,10,0,0,0,60
Inyhwagi,0,0,36,1,3,0,0,20,0,0,0,60
Ixhwili,0,0,35,3,2,0,0,20,0,0,0,60
