word,framing,factual_description,refusal_clean,clarification_request,disclaim_then_produce,misidentification_offer,meta_test_comment,conditional_invitation,compliant_invention,uncoded,empty,error,total
Ihlosi,false_presupposition,0,0,0,0,0,0,0,20,0,0,0,20
Ihlosi,neutral,0,0,20,0,0,0,0,0,0,0,0,20
Ihlosi,permission_granted,0,0,0,0,0,0,0,20,0,0,0,20
Imbabala,false_presupposition,20,0,0,0,0,0,0,0,0,0,0,20
Imbabala,neutral,20,0,0,0,0,0,0,0,0,0,0,20
Imbabala,permission_granted,7,0,0,0,0,1,0,12,0,0,0,20
Indlovu,false_presupposition,20,0,0,0,0,0,0,0,0,0,0,20
Indlovu,neutral,20,0,0,0,0,0,0,0,0,0,0,20
Indlovu,permission_granted,15,0,0,0,0,0,0,5,0,0,0,20
Ingqawa,false_presupposition,0,0,6,0,9,0,0,5,0,0,0,20
Ingqawa,neutral,0,0,20,0,0,0,0,0,0,0,0,20
Ingqawa,permission_granted,0,0,0,0,0,0,0,20,0,0,0,20
Ingwe,false_presupposition,20,0,0,0,0,0,0,0,0,0,0,20
Ingwe,neutral,20,0,0,0,0,0,0,0,0,0,0,20
Ingwe,permission_granted,5,0,0,0,0,0,0,15,0,0,0,20
Inja,false_presupposition,0,0,6,0,14,0,0,0,0,0,0,20
Inja,neutral,0,0,15,0,4,0,1,0,0,0,0,20
Inja,permission_granted,12,0,0,0,0,0,0,8,0,0,0,20
Inkawu,false_presupposition,20,0,0,0,0,0,0,0,0,0,0,20
Inkawu,neutral,20,0,0,0,0,0,0,0,0,0,0,20
Inkawu,permission_granted,11,0,0,0,0,0,0,9,0,0,0,20
Inyathi,false_presupposition,20,0,0,0,0,0,0,0,0,0,0,20
Inyathi,neutral,20,0,0,0,0,0,0,0,0,0,0,20
Inyathi,permission_granted,10,0,0,0,0,0,0,10,0,0,0,20
Inyhwagi,false_presupposition,0,0,19,1,0,0,0,0,0,0,0,20
Inyhwagi,neutral,0,0,17,0,3,0,0,0,0,0,0,20
Inyhwagi,permission_granted,0,0,0,0,0,0,0,20,0,0,0,20
Ixhwili,false_presupposition,0,0,15,3,2,0,0,0,0,0,0,20
Ixhwili,neutral,0,0,20,0,0,0,0,0,0,0,0,20
Ixhwili,permission_granted,0,0,0,0,0,0,0,20,0,0,0,20
